ID,LACT,DIM,MILK,FAT,PROTEIN,BW,DMI,NEL
8963,6,68,80.2695,5,2.68,700.9157509,37.46019607,2.17323633
9702,4,78,50.3385,10.1,2.69,702.7472527,37.52630872,2.159461009
1617,2,34,61.2225,5.01,2.93,711.5079365,31.25961491,2.096574013
1445,2,181,49.4315,6.01,4.43,721.6117216,31.80543048,1.902365337
1129,3,196,41.722,8.79,3.04,724.3589744,33.07832883,1.950498957
156,6,23,55.327,5.32,3.52,715.8730159,28.92988235,2.152754737
1384,2,223,45.8035,7.32,3.33,729.3040293,32.70590978,1.926625769
1258,3,16,46.257,7.04,3.35,718.6507937,27.43223316,2.26331928
9796,4,17,60.3155,4.45,3.13,718.2539683,27.54546434,2.236162832
9835,4,82,56.234,4.93,3.37,703.4798535,31.42519482,1.933728724
9300,5,76,61.2225,4.01,3.13,702.3809524,30.96022343,1.920944902
1225,3,67,57.5945,4.44,3.28,700.7326007,30.71087967,1.925468905
1391,2,119,44.8965,6.56,3.8,710.2564103,30.96303791,1.888058308
9151,5,98,72.56,2.61,3.14,706.4102564,30.76865311,1.890721507
1449,2,118,55.327,4.58,3.27,710.0732601,30.88787605,1.885124262
1064,3,54,67.118,3.2,2.9,703.5714286,30.30380701,1.934918181
8801,6,79,74.8275,2.45,2.83,702.9304029,30.65873096,1.903338544
9789,4,53,65.7575,3.19,3.12,703.968254,29.98763502,1.92298601
1075,3,208,40.815,7.76,2.98,726.5567766,31.54918834,1.882087285
9162,5,112,58.5015,4.29,2.71,708.974359,31.13257946,1.898950724
1429,2,142,51.699,4.83,3.66,714.4688645,30.49208686,1.857121614
9495,5,59,69.3855,2.9,2.82,701.5873016,30.25452146,1.92066674
1115,3,91,60.769,3.55,3.4,705.1282051,30.19928753,1.869735966
1524,2,19,48.071,5.78,3.14,717.4603175,27.056427,2.147067705
1498,2,21,50.3385,5.24,3.28,716.6666667,27.28933807,2.108250165
9852,4,84,53.513,4.65,3.31,703.8461538,30.31409474,1.881692122
1540,2,43,56.6875,4.21,3.18,707.9365079,29.48579118,1.941870351
1658,2,50,47.164,5.76,3.39,705.1587302,29.69549645,1.919059002
9394,5,127,61.676,3.44,3.19,711.7216117,30.41070949,1.859268176
1531,2,48,57.141,4.11,3.06,705.952381,29.63599803,1.924122582
9134,5,119,55.327,4.06,3.57,710.2564103,30.04322579,1.845418629
1216,3,48,50.792,5.15,2.97,705.952381,29.72631047,1.928517879
9436,5,76,65.304,3.07,2.92,702.3809524,30.08332848,1.880772191
205,3,136,57.141,3.77,3.5,713.3699634,30.05015061,1.838543579
9845,3,230,63.0365,3.28,2.99,730.5860806,30.82792711,1.841857712
1514,2,53,52.606,4.76,2.98,703.968254,29.74973624,1.911583263
8951,6,131,58.955,3.82,2.92,712.4542125,30.51590925,1.862522728
1245,3,57,59.862,3.87,2.58,702.3809524,30.07592941,1.916561466
9496,5,24,57.141,3.68,3.59,715.4761905,27.03087865,2.026598549
1081,3,103,55.7805,4.17,2.94,707.3260073,30.23851477,1.863053511
9858,4,20,46.7105,5.33,3.76,717.0634921,26.37007709,2.07802376
9635,4,54,63.49,3.14,2.97,703.5714286,29.46673869,1.894855302
9979,3,261,54.42,3.89,3.71,736.2637363,30.1526123,1.798804468
9783,4,81,61.2225,3.16,3.24,703.2967033,29.49454572,1.845888109
1137,3,100,53.0595,4.12,3.52,706.7765568,29.50743715,1.829771371
1232,3,40,53.513,4.33,3.01,709.1269841,28.79251252,1.926170372
1965,1,44,46.257,5.69,2.94,595.3061224,26.74230644,2.027077162
9524,5,42,61.676,3.11,3.15,708.3333333,28.62967513,1.90432555
9295,5,240,51.2455,4.25,3.77,732.4175824,29.8996859,1.793713468
9088,6,92,57.5945,3.6,3.16,705.3113553,29.61274985,1.840814281
8126,8,72,60.769,3.29,2.97,701.6483516,29.51267554,1.859641675
9824,4,51,60.3155,3.37,2.92,704.7619048,29.16154023,1.889066123
1523,2,83,50.792,4.38,3.61,703.6630037,29.22995925,1.830473077
1565,2,68,48.5245,4.84,3.51,700.9157509,29.13370988,1.848335927
1425,2,196,51.2455,4.37,3.43,724.3589744,29.90385133,1.809499745
143,6,57,54.42,4.03,3.11,702.3809524,29.12963283,1.870473584
1811,1,186,44.443,5.71,3.42,617.0408163,27.67726693,1.913851132
1934,1,92,45.8035,5.5,3.25,602.6530612,27.38306125,1.93782243
9425,5,126,59.4085,3.51,2.77,711.5384615,30.0495531,1.84261753
9823,4,143,57.141,3.64,3.06,714.6520147,29.86125047,1.826692003
1062,3,77,61.676,3.15,2.85,702.5641026,29.51873103,1.852224601
1542,2,128,47.6175,4.82,3.66,711.9047619,29.38496954,1.80924356
9785,4,91,57.141,3.45,3.27,705.1282051,29.25406448,1.823914209
1559,2,59,53.513,3.98,3.25,701.5873016,28.88068285,1.853649536
1918,1,116,44.8965,5.6,3.2,606.3265306,27.402023,1.92482925
1516,2,55,52.606,4.2,3.1,703.1746032,28.94246706,1.865871638
1625,2,76,52.606,4.07,3.31,702.3809524,29.09785906,1.832735865
9826,4,127,56.234,3.69,2.99,711.7216117,29.67570076,1.824078189
1362,2,231,49.4315,4.42,3.6,730.7692308,29.68473284,1.786167096
1261,3,30,48.978,4.61,3.34,713.0952381,27.37114828,1.947686195
1489,2,99,52.1525,3.9,3.6,706.5934066,28.9525022,1.802565885
9773,3,425,43.0825,5.44,3.99,766.3003663,30.23871926,1.745598423
1590,2,22,47.6175,4.78,3.38,716.2698413,26.24419819,2.021145092
1629,2,37,49.4315,4.54,3.2,710.3174603,27.96994695,1.90563898
1564,2,25,44.8965,5.33,3.38,715.0793651,26.73199443,1.989337189
1748,1,161,41.2685,5.89,3.88,613.2142857,26.92700634,1.88409653
1533,2,53,47.6175,4.74,3.37,703.968254,28.49886895,1.848495797
1598,2,46,58.5015,3.2,3.06,706.7460317,28.33931529,1.866941604
9846,4,59,56.6875,3.53,2.85,701.5873016,28.84922029,1.85204
9290,5,76,60.769,2.82,3.2,702.3809524,28.73333432,1.814132415
1622,2,93,51.699,4.08,3.18,705.4945055,29.08102519,1.813550091
1580,2,57,46.7105,4.72,3.62,702.3809524,28.33122085,1.829193525
1595,2,93,47.164,4.67,3.54,705.4945055,28.85920697,1.802225115
9284,5,192,55.7805,3.4,3.24,723.6263736,29.37221022,1.784353352
9667,4,96,51.2455,4.17,3.07,706.043956,29.13563739,1.814007023
217,2,132,48.978,4.24,3.64,712.6373626,28.90707953,1.783222461
9587,4,120,59.862,2.89,3.17,710.4395604,29.02100538,1.794389497
1433,2,247,51.2455,3.89,3.5,733.6996337,29.38266839,1.765064347
1634,2,35,50.792,4.01,3.38,711.1111111,27.38698591,1.891114425
1708,1,221,34.9195,7.3,4.33,622.3979592,26.78364694,1.856841074
1739,1,246,42.1755,5.55,3.69,626.2244898,27.04872896,1.862687002
9963,4,42,46.7105,5.14,2.64,708.3333333,28.42147053,1.89331991
1448,2,184,48.978,4.4,3.21,722.1611722,29.35682514,1.786471295
8769,7,56,55.7805,3.65,2.61,702.7777778,28.80144875,1.856125543
1574,2,119,47.164,4.69,3.22,710.2564103,29.04623504,1.79615123
9639,4,140,46.257,4.68,3.51,714.1025641,28.90428683,1.779795894
1828,1,177,42.629,5.19,3.98,615.6632653,26.48624977,1.855480457
9292,5,112,60.3155,2.83,2.94,708.974359,28.96116237,1.795276039
1217,3,17,50.792,3.95,3.28,718.2539683,24.92763634,2.070000927
208,3,125,55.327,3.3,3.22,711.3553114,28.83043773,1.782275706
9829,4,107,51.699,3.7,3.46,708.0586081,28.5958927,1.779050335
1935,1,53,38.5475,6.72,3.02,596.6836735,26.17756609,1.950173724
1033,3,63,55.7805,3.2,3.27,700,28.1710056,1.809886166
8947,5,262,48.978,4.12,3.49,736.4468864,29.26639005,1.75363037
9247,5,185,57.141,3.17,2.98,722.3443223,29.241508,1.780221713
9699,4,144,46.257,4.77,3.21,714.8351648,29.04457134,1.785454681
1496,2,137,45.35,4.75,3.55,713.5531136,28.75997551,1.773490049
7384,10,105,56.6875,3.12,3.15,707.6923077,28.70536839,1.785960094
9802,4,57,53.0595,3.75,2.92,702.3809524,28.39185989,1.832410197
1731,1,201,42.1755,5.34,3.71,619.3367347,26.63523989,1.855499647
9569,4,254,48.978,4.05,3.54,734.981685,29.13282425,1.749542449
1732,1,282,36.28,6.7,4.08,631.7346939,26.7886939,1.837183609
9724,4,74,56.6875,3.05,3.2,702.014652,28.30508946,1.794712156
1347,2,236,45.8035,4.48,3.75,731.6849817,28.91383064,1.744544254
9104,6,98,57.141,3.01,3.15,706.4102564,28.56603938,1.783211694
1295,2,247,43.0825,4.87,4.07,733.6996337,28.79571187,1.734211386
1147,3,54,56.6875,3.04,3.15,703.5714286,27.95175157,1.816245202
1754,1,241,50.3385,3.81,3.41,625.4591837,26.67849125,1.844675815
1104,3,183,58.5015,3.05,2.71,721.978022,29.30275249,1.784081592
9682,4,82,61.2225,2.59,2.96,703.4798535,28.47912378,1.793060649
9779,4,80,45.35,4.77,3.28,703.1135531,28.42092673,1.79239929
9529,4,253,49.4315,3.88,3.51,734.7985348,28.98451359,1.742082819
1488,2,97,48.978,3.96,3.49,706.2271062,28.31218745,1.770464638
1919,1,125,42.629,5.32,3.29,607.7040816,26.46348475,1.872832858
9137,5,227,49.885,3.9,3.31,730.03663,29.01099103,1.752963615
1856,1,156,46.7105,4.45,3.33,612.4489796,26.46657623,1.861549406
1545,2,52,46.257,4.53,3.34,704.3650794,27.86097948,1.817232145
9492,4,181,48.5245,4.14,3.28,721.6117216,28.86300866,1.762048975
9643,4,148,48.978,3.72,3.89,715.5677656,28.22419905,1.740434354
1310,2,221,48.5245,4.26,3.04,728.9377289,29.1968768,1.764851615
1737,1,269,41.2685,5.26,3.91,629.744898,26.52412671,1.827094008
1958,1,39,44.443,5.18,2.77,596.4285714,25.35973001,1.986465156
9177,5,189,59.4085,2.65,3.13,723.0769231,28.80613772,1.756094633
1641,2,33,46.7105,4.41,3.32,711.9047619,26.87037335,1.88157653
1657,2,37,49.885,3.94,3.15,710.3174603,27.2338952,1.863966698
9735,4,215,55.327,2.99,3.4,727.8388278,28.69938028,1.74082209
9898,4,90,54.8735,3.06,3.36,704.9450549,28.13620305,1.766627041
9870,4,29,48.071,3.97,3.62,713.4920635,26.21774022,1.891975052
9483,5,84,56.6875,2.81,3.38,703.8461538,28.02555941,1.766524626
1427,2,164,36.7335,6.68,3.45,718.4981685,28.81369082,1.765796581
9070,6,78,55.327,3.24,2.91,702.7472527,28.39708157,1.793737762
1644,2,55,49.4315,4.11,2.9,703.1746032,28.08486464,1.820804869
1504,2,121,52.1525,3.29,3.59,710.6227106,28.13798719,1.747270773
9090,5,268,44.443,4.59,3.68,737.5457875,28.85776397,1.729836625
1583,2,102,45.8035,4.6,3.16,707.1428571,28.49180072,1.776603946
9710,4,126,57.141,2.94,2.96,711.5384615,28.60339208,1.769938491
1674,2,27,47.164,4.3,3.21,714.2857143,26.22947902,1.923315082
197,3,104,46.257,4.3,3.51,707.5091575,28.20606899,1.760071026
9600,4,190,44.8965,4.34,3.9,723.2600733,28.32265835,1.729726917
9329,5,137,43.536,4.7,3.76,713.5531136,28.24193438,1.745865526
1406,2,196,47.6175,3.8,3.92,724.3589744,28.23477964,1.722647994
9862,4,119,55.7805,3,3.12,710.2564103,28.40100024,1.762422559
9751,4,172,53.513,3.26,3.2,719.96337,28.5926809,1.751080693
