index,"DM, % as fed","DE base, Mcal/kg",ME (Mcal/kg),NEL (Mcal/kg),"CP, % DM","NDF, % DM","Starch, % DM","Crude fat, % DM","TFAs, % DM","DNDF, %DM"
Corn silage,37.0,2.984,2.56384,1.6921344,7.0,34.229,38.0,3.0,2.35,10.8985136
"Legume silage, mid maturity",40.4,2.737,2.31437,1.5274842,22.0,33.153,3.13,3.0,2.32,10.030108619999998
"Corn grain high moisture, fine grind",76.0,3.694,3.28692,2.1693672,8.0,9.133,70.0,4.3,3.57,2.84666477
Cottenseed whole,91.4,3.15,2.8033519999999994,1.8502123199999998,23.3,50.6,0.8,18.62,18.26,4.0115680000000005
"Soybean meal, solvent 48CP",89.3,3.99,3.5799000000000003,2.362734,52.6,11.1,1.9,1.82,1.08,5.816066999999999
"Soybean Meal, Expellers",91.2,3.9,3.507952,2.3152483200000002,47.6,19.6,1.8,7.12,6.12,10.18612
Soybean Hulls,90.4,2.7,2.277,1.5028200000000003,11.9,66.7,1.0,1.89,1.61,35.925287
Canola meal,89.1,3.14,2.7237460000000002,1.7976723600000002,41.5,29.0,1.6,3.51,2.51,8.77366
"Fat, tallow",99.8,5.8,5.8,3.828,0.0,0.0,0.0,99.8,88.0,0.0
"Corn grain dry, fine grind",86.9,3.55,3.1393639999999996,2.07198024,8.5,9.8,70.4,3.84,3.84,3.736054
Calcium carbonate,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urea,99.0,2.21,1.7821,1.1761860000000002,281.0,0.0,0.0,0.0,0.0,0.0
Rumen Protected Met,98.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
Magnesium oxide,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sodium bicarbonate,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potassium carbonate,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VitTM Premix, generic",92.0,0.0,0.0,0.0,16.0,26.0,15.0,3.0,2.0,0.031200000000000002
